"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"abind","/home/tmichele/projects/NWT/libraryNWT/4.0","1.4-5",NA,NA,NA,NA
"amc","/home/tmichele/projects/NWT/libraryNWT/4.0","0.1.6.9000","amc","achubaty","293ae49de0fb4f8a138054499134999248e2305f","293ae49de0fb4f8a138054499134999248e2305f"
"animation","/home/tmichele/projects/NWT/libraryNWT/4.0","2.6",NA,NA,NA,NA
"arm","/home/tmichele/projects/NWT/libraryNWT/4.0","1.11-2",NA,NA,NA,NA
"askpass","/home/tmichele/projects/NWT/libraryNWT/4.0","1.1",NA,NA,NA,NA
"assertthat","/home/tmichele/projects/NWT/libraryNWT/4.0","0.2.1",NA,NA,NA,NA
"backports","/home/tmichele/projects/NWT/libraryNWT/4.0","1.2.1",NA,NA,NA,NA
"base64enc","/home/tmichele/projects/NWT/libraryNWT/4.0","0.1-3",NA,NA,NA,NA
"BH","/home/tmichele/projects/NWT/libraryNWT/4.0","1.75.0-0",NA,NA,NA,NA
"BiocManager","/home/tmichele/projects/NWT/libraryNWT/4.0","1.30.10",NA,NA,NA,NA
"bit","/home/tmichele/projects/NWT/libraryNWT/4.0","4.0.4",NA,NA,NA,NA
"bit64","/home/tmichele/projects/NWT/libraryNWT/4.0","4.0.5",NA,NA,NA,NA
"bitops","/home/tmichele/projects/NWT/libraryNWT/4.0","1.0-6",NA,NA,NA,NA
"blme","/home/tmichele/projects/NWT/libraryNWT/4.0","1.0-5",NA,NA,NA,NA
"blob","/home/tmichele/projects/NWT/libraryNWT/4.0","1.2.1",NA,NA,NA,NA
"boot","/home/tmichele/projects/NWT/libraryNWT/4.0","1.3-26",NA,NA,NA,NA
"brew","/home/tmichele/projects/NWT/libraryNWT/4.0","1.0-6",NA,NA,NA,NA
"brio","/home/tmichele/projects/NWT/libraryNWT/4.0","1.1.1",NA,NA,NA,NA
"broom","/home/tmichele/projects/NWT/libraryNWT/4.0","0.7.3",NA,NA,NA,NA
"broom.mixed","/home/tmichele/projects/NWT/libraryNWT/4.0","0.2.6",NA,NA,NA,NA
"bslib","/home/tmichele/projects/NWT/libraryNWT/4.0","0.2.4",NA,NA,NA,NA
"cachem","/home/tmichele/projects/NWT/libraryNWT/4.0","1.0.1",NA,NA,NA,NA
"callr","/home/tmichele/projects/NWT/libraryNWT/4.0","3.5.1",NA,NA,NA,NA
"car","/home/tmichele/projects/NWT/libraryNWT/4.0","3.0-10",NA,NA,NA,NA
"carData","/home/tmichele/projects/NWT/libraryNWT/4.0","3.0-4",NA,NA,NA,NA
"caret","/home/tmichele/projects/NWT/libraryNWT/4.0","6.0-86",NA,NA,NA,NA
"cellranger","/home/tmichele/projects/NWT/libraryNWT/4.0","1.1.0",NA,NA,NA,NA
"checkmate","/home/tmichele/projects/NWT/libraryNWT/4.0","2.0.0",NA,NA,NA,NA
"CircStats","/home/tmichele/projects/NWT/libraryNWT/4.0","0.2-6",NA,NA,NA,NA
"class","/home/tmichele/projects/NWT/libraryNWT/4.0","7.3-18",NA,NA,NA,NA
"classInt","/home/tmichele/projects/NWT/libraryNWT/4.0","0.4-3",NA,NA,NA,NA
"cli","/home/tmichele/projects/NWT/libraryNWT/4.0","2.2.0",NA,NA,NA,NA
"clipr","/home/tmichele/projects/NWT/libraryNWT/4.0","0.7.1",NA,NA,NA,NA
"coda","/home/tmichele/projects/NWT/libraryNWT/4.0","0.19-4",NA,NA,NA,NA
"colorspace","/home/tmichele/projects/NWT/libraryNWT/4.0","2.0-0",NA,NA,NA,NA
"commonmark","/home/tmichele/projects/NWT/libraryNWT/4.0","1.7",NA,NA,NA,NA
"conquer","/home/tmichele/projects/NWT/libraryNWT/4.0","1.0.2",NA,NA,NA,NA
"corrplot","/home/tmichele/projects/NWT/libraryNWT/4.0","0.84",NA,NA,NA,NA
"covr","/home/tmichele/projects/NWT/libraryNWT/4.0","3.5.1",NA,NA,NA,NA
"cowplot","/home/tmichele/projects/NWT/libraryNWT/4.0","1.1.1",NA,NA,NA,NA
"cpp11","/home/tmichele/projects/NWT/libraryNWT/4.0","0.2.5",NA,NA,NA,NA
"crayon","/home/tmichele/projects/NWT/libraryNWT/4.0","1.3.4",NA,NA,NA,NA
"credentials","/home/tmichele/projects/NWT/libraryNWT/4.0","1.3.0",NA,NA,NA,NA
"crosstalk","/home/tmichele/projects/NWT/libraryNWT/4.0","1.1.1",NA,NA,NA,NA
"cubelyr","/home/tmichele/projects/NWT/libraryNWT/4.0","1.0.1",NA,NA,NA,NA
"curl","/home/tmichele/projects/NWT/libraryNWT/4.0","4.3",NA,NA,NA,NA
"cyclocomp","/home/tmichele/projects/NWT/libraryNWT/4.0","1.1.0",NA,NA,NA,NA
"data.table","/home/tmichele/projects/NWT/libraryNWT/4.0","1.13.6",NA,NA,NA,NA
"DBI","/home/tmichele/projects/NWT/libraryNWT/4.0","1.1.1",NA,NA,NA,NA
"DEoptim","/home/tmichele/projects/NWT/libraryNWT/4.0","2.2-5",NA,NA,NA,NA
"desc","/home/tmichele/projects/NWT/libraryNWT/4.0","1.2.0",NA,NA,NA,NA
"details","/home/tmichele/projects/NWT/libraryNWT/4.0","0.2.1",NA,NA,NA,NA
"devtools","/home/tmichele/projects/NWT/libraryNWT/4.0","2.3.2",NA,NA,NA,NA
"DiagrammeR","/home/tmichele/projects/NWT/libraryNWT/4.0","1.0.6.1",NA,NA,NA,NA
"dichromat","/home/tmichele/projects/NWT/libraryNWT/4.0","2.0-0",NA,NA,NA,NA
"diffobj","/home/tmichele/projects/NWT/libraryNWT/4.0","0.3.3",NA,NA,NA,NA
"digest","/home/tmichele/projects/NWT/libraryNWT/4.0","0.6.27",NA,NA,NA,NA
"dismo","/home/tmichele/projects/NWT/libraryNWT/4.0","1.3-3",NA,NA,NA,NA
"doParallel","/home/tmichele/projects/NWT/libraryNWT/4.0","1.0.16",NA,NA,NA,NA
"downloader","/home/tmichele/projects/NWT/libraryNWT/4.0","0.4",NA,NA,NA,NA
"dplyr","/home/tmichele/projects/NWT/libraryNWT/4.0","1.0.3",NA,NA,NA,NA
"DT","/home/tmichele/projects/NWT/libraryNWT/4.0","0.17",NA,NA,NA,NA
"e1071","/home/tmichele/projects/NWT/libraryNWT/4.0","1.7-4",NA,NA,NA,NA
"effsize","/home/tmichele/projects/NWT/libraryNWT/4.0","0.8.1",NA,NA,NA,NA
"ellipsis","/home/tmichele/projects/NWT/libraryNWT/4.0","0.3.1",NA,NA,NA,NA
"EnvStats","/home/tmichele/projects/NWT/libraryNWT/4.0","2.4.0",NA,NA,NA,NA
"evaluate","/home/tmichele/projects/NWT/libraryNWT/4.0","0.14",NA,NA,NA,NA
"fansi","/home/tmichele/projects/NWT/libraryNWT/4.0","0.4.2",NA,NA,NA,NA
"farver","/home/tmichele/projects/NWT/libraryNWT/4.0","2.0.3",NA,NA,NA,NA
"fastdigest","/home/tmichele/projects/NWT/libraryNWT/4.0","0.6-3",NA,NA,NA,NA
"fasterize","/home/tmichele/projects/NWT/libraryNWT/4.0","1.0.3",NA,NA,NA,NA
"fastmap","/home/tmichele/projects/NWT/libraryNWT/4.0","1.1.0",NA,NA,NA,NA
"fastmatch","/home/tmichele/projects/NWT/libraryNWT/4.0","1.1-0",NA,NA,NA,NA
